ejecucion,nodo,grado,etiqueta
0,0,124,1
0,1,124,1
0,2,124,1
0,3,124,1
0,4,124,1
0,5,124,1
0,6,112,1
0,7,124,1
0,8,112,1
0,9,110,1
0,10,112,1
0,11,112,1
0,12,124,1
0,13,124,1
0,14,124,1
0,15,124,1
0,16,112,1
0,17,110,1
0,18,112,1
0,19,124,1
0,20,110,1
0,21,110,1
0,22,110,1
0,23,124,1
0,24,112,1
0,25,110,1
0,26,112,1
0,27,124,1
0,28,112,1
0,29,124,1
0,30,112,1
0,31,110,1
0,32,112,1
0,33,112,1
0,34,124,1
0,35,112,1
0,36,124,1
0,37,112,1
0,38,110,1
0,39,112,1
0,40,112,1
0,41,112,1
0,42,104,1
0,43,112,1
0,44,104,1
0,45,102,1
0,46,104,1
0,47,104,1
0,48,124,1
0,49,112,1
0,50,110,1
0,51,112,1
0,52,112,1
0,53,104,1
0,54,102,1
0,55,104,1
0,56,110,1
0,57,102,1
0,58,102,1
0,59,102,1
0,60,112,1
0,61,104,1
0,62,102,1
0,63,104,1
0,64,112,1
0,65,104,1
0,66,112,1
0,67,104,1
0,68,102,1
0,69,104,1
0,70,104,1
0,71,124,1
0,72,124,1
0,73,124,1
0,74,124,1
0,75,112,1
0,76,110,1
0,77,112,1
0,78,124,1
0,79,110,1
0,80,110,1
0,81,110,1
0,82,124,1
0,83,112,1
0,84,110,1
0,85,112,1
0,86,124,1
0,87,112,1
0,88,110,1
0,89,112,1
0,90,112,1
0,91,104,1
0,92,102,1
0,93,104,1
0,94,110,1
0,95,102,1
0,96,102,1
0,97,102,1
0,98,112,1
0,99,104,1
0,100,102,1
0,101,104,1
0,102,124,1
0,103,110,1
0,104,110,1
0,105,110,1
0,106,110,1
0,107,102,1
0,108,102,1
0,109,102,1
0,110,110,1
0,111,102,1
0,112,102,1
0,113,102,1
0,114,110,1
0,115,102,1
0,116,102,1
0,117,102,1
0,118,124,1
0,119,112,1
0,120,110,1
0,121,112,1
0,122,112,1
0,123,104,1
0,124,102,1
0,125,104,1
0,126,110,1
0,127,102,1
0,128,102,1
0,129,102,1
0,130,112,1
0,131,104,1
0,132,102,0
0,133,104,1
0,134,124,1
0,135,112,1
0,136,124,1
0,137,112,1
0,138,110,1
0,139,112,1
0,140,112,1
0,141,112,1
0,142,104,1
0,143,112,1
0,144,104,1
0,145,102,1
0,146,104,1
0,147,104,1
0,148,124,1
0,149,112,1
0,150,110,1
0,151,112,1
0,152,112,1
0,153,104,1
0,154,102,1
0,155,104,1
0,156,110,1
0,157,102,1
0,158,102,0
0,159,102,1
0,160,112,1
0,161,104,1
0,162,102,0
0,163,104,0
0,164,112,1
0,165,104,1
0,166,112,1
0,167,104,1
0,168,102,0
0,169,104,0
0,170,104,0
1,0,124,1
1,1,124,1
1,2,124,1
1,3,124,1
1,4,124,1
1,5,124,1
1,6,112,1
1,7,124,1
1,8,112,1
1,9,110,1
1,10,112,1
1,11,112,1
1,12,124,1
1,13,124,1
1,14,124,1
1,15,124,1
1,16,112,1
1,17,110,1
1,18,112,1
1,19,124,1
1,20,110,1
1,21,110,1
1,22,110,1
1,23,124,1
1,24,112,1
1,25,110,1
1,26,112,1
1,27,124,1
1,28,112,1
1,29,124,1
1,30,112,1
1,31,110,1
1,32,112,1
1,33,112,1
1,34,124,1
1,35,112,1
1,36,124,1
1,37,112,1
1,38,110,1
1,39,112,1
1,40,112,1
1,41,112,1
1,42,104,1
1,43,112,1
1,44,104,1
1,45,102,1
1,46,104,1
1,47,104,1
1,48,124,1
1,49,112,1
1,50,110,1
1,51,112,1
1,52,112,1
1,53,104,1
1,54,102,1
1,55,104,1
1,56,110,1
1,57,102,1
1,58,102,1
1,59,102,1
1,60,112,1
1,61,104,1
1,62,102,1
1,63,104,1
1,64,112,1
1,65,104,1
1,66,112,1
1,67,104,1
1,68,102,1
1,69,104,1
1,70,104,1
1,71,124,1
1,72,124,1
1,73,124,1
1,74,124,1
1,75,112,1
1,76,110,1
1,77,112,1
1,78,124,1
1,79,110,1
1,80,110,1
1,81,110,1
1,82,124,1
1,83,112,1
1,84,110,1
1,85,112,1
1,86,124,1
1,87,112,1
1,88,110,1
1,89,112,1
1,90,112,1
1,91,104,1
1,92,102,1
1,93,104,1
1,94,110,1
1,95,102,1
1,96,102,1
1,97,102,1
1,98,112,1
1,99,104,1
1,100,102,1
1,101,104,1
1,102,124,1
1,103,110,1
1,104,110,1
1,105,110,1
1,106,110,1
1,107,102,1
1,108,102,1
1,109,102,1
1,110,110,1
1,111,102,1
1,112,102,1
1,113,102,0
1,114,110,1
1,115,102,1
1,116,102,1
1,117,102,1
1,118,124,1
1,119,112,1
1,120,110,1
1,121,112,1
1,122,112,1
1,123,104,1
1,124,102,1
1,125,104,0
1,126,110,1
1,127,102,1
1,128,102,1
1,129,102,0
1,130,112,1
1,131,104,1
1,132,102,1
1,133,104,1
1,134,124,1
1,135,112,1
1,136,124,1
1,137,112,1
1,138,110,1
1,139,112,1
1,140,112,1
1,141,112,1
1,142,104,1
1,143,112,1
1,144,104,1
1,145,102,1
1,146,104,1
1,147,104,1
1,148,124,1
1,149,112,1
1,150,110,1
1,151,112,1
1,152,112,0
1,153,104,1
1,154,102,1
1,155,104,1
1,156,110,1
1,157,102,1
1,158,102,1
1,159,102,0
1,160,112,1
1,161,104,1
1,162,102,1
1,163,104,1
1,164,112,1
1,165,104,1
1,166,112,0
1,167,104,1
1,168,102,1
1,169,104,0
1,170,104,1
2,0,124,1
2,1,124,1
2,2,124,1
2,3,124,1
2,4,124,1
2,5,124,1
2,6,112,1
2,7,124,1
2,8,112,1
2,9,110,1
2,10,112,1
2,11,112,1
2,12,124,1
2,13,124,1
2,14,124,1
2,15,124,1
2,16,112,1
2,17,110,1
2,18,112,1
2,19,124,1
2,20,110,1
2,21,110,1
2,22,110,1
2,23,124,1
2,24,112,1
2,25,110,1
2,26,112,1
2,27,124,1
2,28,112,1
2,29,124,1
2,30,112,1
2,31,110,1
2,32,112,1
2,33,112,1
2,34,124,1
2,35,112,1
2,36,124,1
2,37,112,1
2,38,110,1
2,39,112,1
2,40,112,1
2,41,112,1
2,42,104,1
2,43,112,1
2,44,104,1
2,45,102,1
2,46,104,1
2,47,104,1
2,48,124,1
2,49,112,1
2,50,110,1
2,51,112,1
2,52,112,1
2,53,104,1
2,54,102,1
2,55,104,1
2,56,110,1
2,57,102,1
2,58,102,1
2,59,102,1
2,60,112,1
2,61,104,1
2,62,102,1
2,63,104,1
2,64,112,1
2,65,104,1
2,66,112,1
2,67,104,1
2,68,102,1
2,69,104,1
2,70,104,1
2,71,124,1
2,72,124,1
2,73,124,1
2,74,124,1
2,75,112,1
2,76,110,1
2,77,112,1
2,78,124,1
2,79,110,1
2,80,110,1
2,81,110,1
2,82,124,1
2,83,112,1
2,84,110,1
2,85,112,1
2,86,124,1
2,87,112,1
2,88,110,1
2,89,112,1
2,90,112,1
2,91,104,1
2,92,102,1
2,93,104,1
2,94,110,1
2,95,102,1
2,96,102,1
2,97,102,1
2,98,112,1
2,99,104,1
2,100,102,1
2,101,104,1
2,102,124,1
2,103,110,1
2,104,110,1
2,105,110,1
2,106,110,1
2,107,102,1
2,108,102,1
2,109,102,1
2,110,110,1
2,111,102,1
2,112,102,1
2,113,102,0
2,114,110,1
2,115,102,1
2,116,102,1
2,117,102,1
2,118,124,1
2,119,112,1
2,120,110,1
2,121,112,1
2,122,112,1
2,123,104,1
2,124,102,0
2,125,104,1
2,126,110,1
2,127,102,1
2,128,102,1
2,129,102,0
2,130,112,1
2,131,104,1
2,132,102,1
2,133,104,1
2,134,124,1
2,135,112,1
2,136,124,1
2,137,112,1
2,138,110,1
2,139,112,1
2,140,112,1
2,141,112,1
2,142,104,1
2,143,112,1
2,144,104,1
2,145,102,1
2,146,104,1
2,147,104,1
2,148,124,1
2,149,112,1
2,150,110,1
2,151,112,1
2,152,112,1
2,153,104,1
2,154,102,0
2,155,104,0
2,156,110,1
2,157,102,1
2,158,102,1
2,159,102,0
2,160,112,1
2,161,104,1
2,162,102,1
2,163,104,1
2,164,112,1
2,165,104,0
2,166,112,1
2,167,104,1
2,168,102,0
2,169,104,0
2,170,104,1
3,0,124,1
3,1,124,1
3,2,124,1
3,3,124,1
3,4,124,1
3,5,124,1
3,6,112,1
3,7,124,1
3,8,112,1
3,9,110,1
3,10,112,1
3,11,112,1
3,12,124,1
3,13,124,1
3,14,124,1
3,15,124,1
3,16,112,1
3,17,110,1
3,18,112,1
3,19,124,1
3,20,110,1
3,21,110,1
3,22,110,1
3,23,124,1
3,24,112,1
3,25,110,1
3,26,112,1
3,27,124,1
3,28,112,1
3,29,124,1
3,30,112,1
3,31,110,1
3,32,112,1
3,33,112,1
3,34,124,1
3,35,112,1
3,36,124,1
3,37,112,1
3,38,110,1
3,39,112,1
3,40,112,1
3,41,112,1
3,42,104,1
3,43,112,1
3,44,104,1
3,45,102,1
3,46,104,1
3,47,104,1
3,48,124,1
3,49,112,1
3,50,110,1
3,51,112,1
3,52,112,1
3,53,104,1
3,54,102,1
3,55,104,1
3,56,110,1
3,57,102,1
3,58,102,1
3,59,102,1
3,60,112,1
3,61,104,1
3,62,102,1
3,63,104,1
3,64,112,1
3,65,104,1
3,66,112,1
3,67,104,1
3,68,102,1
3,69,104,1
3,70,104,1
3,71,124,1
3,72,124,1
3,73,124,1
3,74,124,1
3,75,112,1
3,76,110,1
3,77,112,1
3,78,124,1
3,79,110,1
3,80,110,1
3,81,110,1
3,82,124,1
3,83,112,1
3,84,110,1
3,85,112,1
3,86,124,1
3,87,112,1
3,88,110,1
3,89,112,1
3,90,112,1
3,91,104,1
3,92,102,1
3,93,104,1
3,94,110,1
3,95,102,1
3,96,102,1
3,97,102,1
3,98,112,1
3,99,104,1
3,100,102,1
3,101,104,1
3,102,124,1
3,103,110,1
3,104,110,1
3,105,110,1
3,106,110,1
3,107,102,1
3,108,102,1
3,109,102,1
3,110,110,1
3,111,102,1
3,112,102,1
3,113,102,1
3,114,110,1
3,115,102,1
3,116,102,1
3,117,102,1
3,118,124,1
3,119,112,1
3,120,110,1
3,121,112,1
3,122,112,1
3,123,104,1
3,124,102,1
3,125,104,1
3,126,110,1
3,127,102,1
3,128,102,0
3,129,102,0
3,130,112,1
3,131,104,1
3,132,102,1
3,133,104,1
3,134,124,1
3,135,112,1
3,136,124,1
3,137,112,1
3,138,110,1
3,139,112,1
3,140,112,1
3,141,112,1
3,142,104,1
3,143,112,1
3,144,104,1
3,145,102,1
3,146,104,1
3,147,104,1
3,148,124,1
3,149,112,1
3,150,110,1
3,151,112,1
3,152,112,1
3,153,104,1
3,154,102,1
3,155,104,0
3,156,110,1
3,157,102,1
3,158,102,0
3,159,102,0
3,160,112,1
3,161,104,1
3,162,102,1
3,163,104,0
3,164,112,1
3,165,104,1
3,166,112,1
3,167,104,1
3,168,102,1
3,169,104,0
3,170,104,1
4,0,124,1
4,1,124,1
4,2,124,1
4,3,124,1
4,4,124,1
4,5,124,1
4,6,112,1
4,7,124,1
4,8,112,1
4,9,110,1
4,10,112,1
4,11,112,1
4,12,124,1
4,13,124,1
4,14,124,1
4,15,124,1
4,16,112,1
4,17,110,1
4,18,112,1
4,19,124,1
4,20,110,1
4,21,110,1
4,22,110,1
4,23,124,1
4,24,112,1
4,25,110,1
4,26,112,1
4,27,124,1
4,28,112,1
4,29,124,1
4,30,112,1
4,31,110,1
4,32,112,1
4,33,112,1
4,34,124,1
4,35,112,1
4,36,124,1
4,37,112,1
4,38,110,1
4,39,112,1
4,40,112,1
4,41,112,1
4,42,104,1
4,43,112,1
4,44,104,1
4,45,102,1
4,46,104,1
4,47,104,1
4,48,124,1
4,49,112,1
4,50,110,1
4,51,112,1
4,52,112,1
4,53,104,1
4,54,102,1
4,55,104,1
4,56,110,1
4,57,102,1
4,58,102,1
4,59,102,1
4,60,112,1
4,61,104,1
4,62,102,1
4,63,104,1
4,64,112,1
4,65,104,1
4,66,112,1
4,67,104,1
4,68,102,1
4,69,104,1
4,70,104,1
4,71,124,1
4,72,124,1
4,73,124,1
4,74,124,1
4,75,112,1
4,76,110,1
4,77,112,1
4,78,124,1
4,79,110,1
4,80,110,1
4,81,110,1
4,82,124,1
4,83,112,1
4,84,110,1
4,85,112,1
4,86,124,1
4,87,112,1
4,88,110,1
4,89,112,1
4,90,112,1
4,91,104,1
4,92,102,1
4,93,104,1
4,94,110,1
4,95,102,1
4,96,102,1
4,97,102,1
4,98,112,1
4,99,104,1
4,100,102,1
4,101,104,1
4,102,124,1
4,103,110,1
4,104,110,1
4,105,110,1
4,106,110,1
4,107,102,1
4,108,102,1
4,109,102,1
4,110,110,1
4,111,102,1
4,112,102,1
4,113,102,1
4,114,110,1
4,115,102,1
4,116,102,1
4,117,102,1
4,118,124,1
4,119,112,1
4,120,110,1
4,121,112,1
4,122,112,1
4,123,104,1
4,124,102,1
4,125,104,1
4,126,110,1
4,127,102,1
4,128,102,0
4,129,102,1
4,130,112,1
4,131,104,1
4,132,102,0
4,133,104,1
4,134,124,1
4,135,112,1
4,136,124,1
4,137,112,1
4,138,110,1
4,139,112,1
4,140,112,1
4,141,112,1
4,142,104,1
4,143,112,1
4,144,104,1
4,145,102,1
4,146,104,1
4,147,104,1
4,148,124,1
4,149,112,1
4,150,110,1
4,151,112,1
4,152,112,1
4,153,104,1
4,154,102,1
4,155,104,1
4,156,110,1
4,157,102,1
4,158,102,0
4,159,102,0
4,160,112,1
4,161,104,1
4,162,102,0
4,163,104,0
4,164,112,1
4,165,104,1
4,166,112,1
4,167,104,1
4,168,102,1
4,169,104,0
4,170,104,1
5,0,124,1
5,1,124,1
5,2,124,1
5,3,124,1
5,4,124,1
5,5,124,1
5,6,112,1
5,7,124,1
5,8,112,1
5,9,110,1
5,10,112,1
5,11,112,1
5,12,124,1
5,13,124,1
5,14,124,1
5,15,124,1
5,16,112,1
5,17,110,1
5,18,112,1
5,19,124,1
5,20,110,1
5,21,110,1
5,22,110,1
5,23,124,1
5,24,112,1
5,25,110,1
5,26,112,1
5,27,124,1
5,28,112,1
5,29,124,1
5,30,112,1
5,31,110,1
5,32,112,1
5,33,112,1
5,34,124,1
5,35,112,1
5,36,124,1
5,37,112,1
5,38,110,1
5,39,112,1
5,40,112,1
5,41,112,1
5,42,104,1
5,43,112,1
5,44,104,1
5,45,102,1
5,46,104,1
5,47,104,1
5,48,124,1
5,49,112,1
5,50,110,1
5,51,112,1
5,52,112,1
5,53,104,1
5,54,102,1
5,55,104,1
5,56,110,1
5,57,102,1
5,58,102,1
5,59,102,1
5,60,112,1
5,61,104,1
5,62,102,1
5,63,104,1
5,64,112,1
5,65,104,1
5,66,112,1
5,67,104,1
5,68,102,1
5,69,104,1
5,70,104,1
5,71,124,1
5,72,124,1
5,73,124,1
5,74,124,1
5,75,112,1
5,76,110,1
5,77,112,1
5,78,124,1
5,79,110,1
5,80,110,1
5,81,110,1
5,82,124,1
5,83,112,1
5,84,110,1
5,85,112,1
5,86,124,1
5,87,112,1
5,88,110,1
5,89,112,1
5,90,112,1
5,91,104,1
5,92,102,1
5,93,104,1
5,94,110,1
5,95,102,1
5,96,102,1
5,97,102,1
5,98,112,1
5,99,104,1
5,100,102,1
5,101,104,1
5,102,124,1
5,103,110,1
5,104,110,1
5,105,110,1
5,106,110,1
5,107,102,1
5,108,102,1
5,109,102,1
5,110,110,1
5,111,102,1
5,112,102,1
5,113,102,1
5,114,110,1
5,115,102,1
5,116,102,1
5,117,102,1
5,118,124,1
5,119,112,1
5,120,110,1
5,121,112,1
5,122,112,1
5,123,104,1
5,124,102,1
5,125,104,1
5,126,110,1
5,127,102,1
5,128,102,0
5,129,102,0
5,130,112,1
5,131,104,1
5,132,102,1
5,133,104,1
5,134,124,1
5,135,112,1
5,136,124,1
5,137,112,1
5,138,110,1
5,139,112,1
5,140,112,1
5,141,112,1
5,142,104,1
5,143,112,1
5,144,104,1
5,145,102,1
5,146,104,1
5,147,104,1
5,148,124,1
5,149,112,1
5,150,110,1
5,151,112,1
5,152,112,1
5,153,104,1
5,154,102,1
5,155,104,1
5,156,110,1
5,157,102,1
5,158,102,0
5,159,102,0
5,160,112,1
5,161,104,1
5,162,102,0
5,163,104,1
5,164,112,1
5,165,104,1
5,166,112,1
5,167,104,1
5,168,102,0
5,169,104,0
5,170,104,0
6,0,124,1
6,1,124,1
6,2,124,1
6,3,124,1
6,4,124,1
6,5,124,1
6,6,112,1
6,7,124,1
6,8,112,1
6,9,110,1
6,10,112,1
6,11,112,1
6,12,124,1
6,13,124,1
6,14,124,1
6,15,124,1
6,16,112,1
6,17,110,1
6,18,112,1
6,19,124,1
6,20,110,1
6,21,110,1
6,22,110,1
6,23,124,1
6,24,112,1
6,25,110,1
6,26,112,1
6,27,124,1
6,28,112,1
6,29,124,1
6,30,112,1
6,31,110,1
6,32,112,1
6,33,112,1
6,34,124,1
6,35,112,1
6,36,124,1
6,37,112,1
6,38,110,1
6,39,112,1
6,40,112,1
6,41,112,1
6,42,104,1
6,43,112,1
6,44,104,1
6,45,102,1
6,46,104,1
6,47,104,1
6,48,124,1
6,49,112,1
6,50,110,1
6,51,112,1
6,52,112,1
6,53,104,1
6,54,102,1
6,55,104,1
6,56,110,1
6,57,102,1
6,58,102,1
6,59,102,1
6,60,112,1
6,61,104,1
6,62,102,1
6,63,104,1
6,64,112,1
6,65,104,1
6,66,112,1
6,67,104,1
6,68,102,1
6,69,104,1
6,70,104,1
6,71,124,1
6,72,124,1
6,73,124,1
6,74,124,1
6,75,112,1
6,76,110,1
6,77,112,1
6,78,124,1
6,79,110,1
6,80,110,1
6,81,110,1
6,82,124,1
6,83,112,1
6,84,110,1
6,85,112,1
6,86,124,1
6,87,112,1
6,88,110,1
6,89,112,1
6,90,112,1
6,91,104,1
6,92,102,1
6,93,104,1
6,94,110,1
6,95,102,1
6,96,102,1
6,97,102,1
6,98,112,1
6,99,104,1
6,100,102,1
6,101,104,1
6,102,124,1
6,103,110,1
6,104,110,1
6,105,110,1
6,106,110,1
6,107,102,1
6,108,102,1
6,109,102,1
6,110,110,1
6,111,102,1
6,112,102,0
6,113,102,1
6,114,110,1
6,115,102,1
6,116,102,1
6,117,102,1
6,118,124,1
6,119,112,1
6,120,110,1
6,121,112,1
6,122,112,1
6,123,104,1
6,124,102,0
6,125,104,0
6,126,110,1
6,127,102,1
6,128,102,1
6,129,102,1
6,130,112,1
6,131,104,1
6,132,102,1
6,133,104,1
6,134,124,1
6,135,112,1
6,136,124,1
6,137,112,1
6,138,110,1
6,139,112,1
6,140,112,1
6,141,112,1
6,142,104,1
6,143,112,1
6,144,104,1
6,145,102,1
6,146,104,1
6,147,104,1
6,148,124,1
6,149,112,1
6,150,110,1
6,151,112,1
6,152,112,1
6,153,104,1
6,154,102,0
